"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time variant better","[catboost, scikit-learn]","1413:2, 1413:3, 1413:4, 1413:5, 1413:6, 1413:7, 1413:12, 1413:18, 1413:23, 1413:28","scikit-learn:1.0.1, scikit-learn:0.22.1, scikit-learn:0.24.2, scikit-learn:0.20.3",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time baseline better","[catboost, scikit-learn]","1413:9, 1413:13","scikit-learn:1.0.1, scikit-learn:0.22",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time baseline bettermemory baseline better","[catboost, scikit-learn]","1413:10, 1413:14, 1413:15, 1413:17, 1413:83, 1413:84","scikit-learn:1.0.1, scikit-learn:0.21.3, scikit-learn:0.20.3, scikit-learn:0.23.2, scikit-learn:0.22.1",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time variant bettermemory baseline better","[catboost, scikit-learn]","1413:16, 1413:20, 1413:25, 1413:27, 1413:29, 1413:31, 1413:32, 1413:33, 1413:36, 1413:37","scikit-learn:0.19.2, scikit-learn:0.22.1, scikit-learn:1.0.1, scikit-learn:0.23.2, scikit-learn:0.22, scikit-learn:0.20.3",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","memory baseline better","[catboost, scikit-learn]","1413:19, 1413:21, 1413:22, 1413:24, 1413:26, 1413:34, 1413:35, 1413:38, 1413:40","scikit-learn:0.23.2, scikit-learn:0.22, scikit-learn:0.21.3, scikit-learn:0.19.2, scikit-learn:0.24.2",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time baseline betterscore inconsistent","[catboost, scikit-learn]","1413:41, 1413:47, 1413:50, 1413:51, 1413:56, 1413:58, 1413:61","scikit-learn:1.0.1, scikit-learn:0.20.3, scikit-learn:0.24.2, scikit-learn:0.23.2, scikit-learn:0.19.2, scikit-learn:0.22",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","score inconsistent","[catboost, scikit-learn]","1413:42, 1413:44, 1413:46, 1413:49, 1413:85, 1413:88","scikit-learn:0.24.2, scikit-learn:0.22.1, scikit-learn:0.21.3, scikit-learn:1.0.1, scikit-learn:0.22, scikit-learn:0.19.2",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","memory baseline betterscore inconsistent","[catboost, scikit-learn]","1413:43, 1413:45, 1413:52, 1413:54, 1413:81, 1413:82, 1413:86","scikit-learn:0.23.2, scikit-learn:0.22, scikit-learn:0.22.1, scikit-learn:0.21.3, scikit-learn:1.0.1, scikit-learn:0.24.2",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time variant betterscore inconsistent","[catboost, scikit-learn]","1413:48","scikit-learn:0.19.2",
"{'catboost.CatBoostClassifier', ' sklearn.preprocessing.LabelEncoder'}","time baseline bettermemory baseline betterscore inconsistent","[catboost, scikit-learn]","1413:53, 1413:55, 1413:57, 1413:59, 1413:60, 1413:62, 1413:63, 1413:64","scikit-learn:0.22, scikit-learn:0.20.3, scikit-learn:1.0.1, scikit-learn:0.23.2, scikit-learn:0.22.1, scikit-learn:0.21.3, scikit-learn:0.19.2",
