"lightgbm.Dataset, lightgbm.train, ","time variant bettermemory variant betterscore inconsistent","[lightgbm]","1097:1, 1097:2, 1097:3, 1097:4, 1097:5, 1465:3, 1465:4, 1465:5, 1465:6, 1465:7, 1510:1, 1510:2, 1510:3, 1510:4, 1511:1, 1511:2, 1511:3, 1511:4, 8473:1, 8473:3, 17654:1, 17654:2, 17654:3, 17654:4, 17654:5, 17654:6, 17655:3, 17655:4, 17655:5, 17700:1, 17700:2, 17700:3, 17700:4, 17700:5, 17730:2, 17730:3, 17730:4, 17730:5, 17730:6, 17730:7, 17744:7, 20563:6, 20563:7, 24597:1, 24597:2, 24597:3, 24597:4, 24597:5, 24970:3, 24970:4","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.3.1, lightgbm:2.2.3, lightgbm:2.1.2",
"lightgbm.Dataset, lightgbm.train, ","time variant bettermemory baseline betterscore inconsistent","[lightgbm]","1097:6, 1097:7, 8473:7, 17655:6, 17700:6, 17700:7, 24014:1, 24014:2, 24014:3, 24014:4, 24014:5, 24014:6, 24324:7, 24452:7, 24484:7, 24597:6, 24597:7","lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.3.1",
"lightgbm.LGBMClassifier, ","time variant bettermemory variant betterscore inconsistent","[lightgbm]","1098:1, 1098:2, 1098:5, 8226:1, 17649:1, 17649:2, 17649:3, 24514:1, 24514:2, 24571:1, 24571:2, 24571:3, 24571:4, 24571:5, 24605:3, 24605:4, 24677:1, 24677:2, 24677:3, 24677:4, 25134:2, 25134:4, 25134:6, 25134:7","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:2.3.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.2.3, lightgbm:2.1.2",
"lightgbm.LGBMClassifier, ","memory variant betterscore inconsistent","[lightgbm]","1098:3, 1255:1, 17649:4, 24514:3, 24514:4, 24605:1, 24605:2, 24605:5, 24605:6, 24605:7, 25003:6, 25003:7","lightgbm:3.1.1, lightgbm:3.3.1, lightgbm:3.0.0, lightgbm:3.2.1, lightgbm:2.3.1, lightgbm:2.2.3, lightgbm:2.1.2",
"lightgbm.LGBMClassifier, ","time variant bettermemory variant better","[lightgbm]","1098:4, 25003:4","lightgbm:3.0.0",
"lightgbm.LGBMClassifier, ","time variant betterscore inconsistent","[lightgbm]","1098:6, 1098:7, 24575:1, 24575:3, 24575:4","lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:3.3.1, lightgbm:3.1.1, lightgbm:3.0.0",
"sklearn.impute.SimpleImputer, sklearn.model_selection.train_test_split, sklearn.linear_model.LinearRegression, sklearn.model_selection.cross_val_score, ","memory baseline better","[scikit-learn]","1116:2","scikit-learn:0.24.2",
"sklearn.impute.SimpleImputer, sklearn.model_selection.train_test_split, sklearn.linear_model.LinearRegression, sklearn.model_selection.cross_val_score, ","memory variant better","[scikit-learn]","1116:6","scikit-learn:0.21.3",
"sklearn.impute.SimpleImputer, sklearn.model_selection.train_test_split, sklearn.linear_model.LinearRegression, sklearn.model_selection.cross_val_score, ","time variant bettermemory variant better","[scikit-learn]","1116:7","scikit-learn:0.20.3",
"lightgbm.Dataset, lightgbm.train, ","time variant betterscore inconsistent","[lightgbm]","1118:1, 1118:2, 1118:3, 1118:4, 1118:6, 1118:7, 1465:1, 1465:2, 10587:1, 10587:2, 10587:3, 10587:5, 10587:6, 10587:7, 17655:1, 17655:2, 20563:5","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:2.3.1",
"imblearn.over_sampling.SMOTE, ","time variant betterscore inconsistent","[imbalanced-learn]","1118:2","imbalanced-learn:0.8.1",
"lightgbm.Dataset, lightgbm.train, ","time variant better","[lightgbm]","1118:5, 1692:3, 1692:6, 19597:2, 20070:4, 20563:1, 20563:2, 20563:3, 24452:1, 24452:3, 24452:5, 24484:1, 24484:2, 24484:3, 24484:4, 24484:5, 31897:5, 31905:7","lightgbm:2.3.1, lightgbm:3.1.1, lightgbm:2.2.3, lightgbm:3.2.1, lightgbm:3.0.0, lightgbm:3.3.1, lightgbm:2.1.2",
"xgboost.XGBClassifier, ","time variant better","[xgboost]","1121:3, 1359:7, 3445:4, 3445:5, 17621:4, 17621:5, 17621:6, 20072:5, 20500:5, 24588:1, 24588:2","xgboost:1.3.3, xgboost:0.90, xgboost:1.2.1, xgboost:1.1.1, xgboost:1.0.2, xgboost:1.5.1, xgboost:1.4.2",
"sklearn.preprocessing.StandardScaler, sklearn.ensemble.RandomForestClassifier, sklearn.model_selection.train_test_split, sklearn.metrics.classification_report, sklearn.preprocessing.LabelEncoder, ","time baseline better","[scikit-learn]","1125:4","scikit-learn:0.22.1",
